Artist,Title,genre_id
Shiro Sagisu,never meant to belong(Bleach OST),18
Chris Cornell,You Know My Name,18
FMLYBND,Electricity,18
Agnes Obel,Just So,18
Fallulah  ,Give Us a Little Love,18
Oasis,I'm Outta Time,1
Swedish House Mafia feat. John Martin,Save The World Tonight,18
Breaking Benjamin,The Diary Of Jane,1
My Chemical Romance,The Sharpest Lives,1
Tim McMorris,Life is Beautiful,18
Florence  And  The Machine,Heavy In Your Arms,21
How I Met Your Mother,Main theme,18
Hinder,One Nightstand,1
take that & Robbie Williams,sos (Progress album 2010),2
ThePianoGuys,The Cello Song (Bach Is Back),18
Stateless,Bloodstream,21
5nizza,Забери меня к себе,18
The Piano Guys,Love Story (Taylor Swift) meets Viva la Vida (Coldplay),2
Rival State,Sleep Talker,18
Finger Eleven,Paralyzer,18
Far East Movement,Like A G6,18
Mother Mother ,Let's Fall In Love,18
Mother Mother,Chasing It Down,18
Aleah,Vapour (Mirco Niemeier Edit),18
John Murphy,"Don Abandons Alice (OST ""28 дней спустя"")",18
Lisa Miskovsky,Still Alive (Benny Benassi Remix Radio Edit),18
Solar Fields (Featuring Lisa Miskovsky),Still Alive (The Theme From Mirror's Edge),2
Злата Огневич,Зозуля,18
Joe Dassin,Une vie d'amour,18
Snow Patrol,What If This Storm Ends,21
Reamonn,Sometimes (OST Keith),18
Breaking Benjamin,Diary of Jane,18
Michael Buble,I''m Feeling Good,18
Buried In Verona,LionHeart,18
Chevelle,The Fad,1
My Chemical Romance,The Jetset Life Is Gonna Kill You,18
 Mark Erman,Dreams,18
InСайд,Until I Die,18
Takers feat.Chipper (Matinée Amnesia Ibiza 2012)," Alive (Original Mix) ★ EXCLUSIVE! for club5485048 ★ [track at ➨ 11.07.2012] - Progressive House, Electro Progressive",18
Jean Elan Ft Cosmo Klein,Feel Alive,5
Gin Wigmore,Kill of the Night,2
Blackmore's Night,Wish You Were Here,1
"Віктор Павлік, Анжеліка Рудницька, Микола Трубач  ",Знайди мене,2
I Hate Kate,Then You Kiss,1
Bob Sinclar feat Sophie Ellis Bextor,Fuck With You (Fuzzy Hair Remix)(CUT) → vk.com/top_club_music,18
The Cat Empire,Till The Ocean Takes Us All,21
Pianoбой,erase me,18
Snow Patrol,Called Out In The Dark,21
Calvin Harris , Sweet Nothing (feat. Florence Welch),18
Armin van Buuren vs. Sophie Ellis-Bextor,Not Giving Up Of Love,18
Jocelyn Pook,Loving Strangers,2
John Brion,I Need Your Loving,18
The Rapture,How Deep Is Your Love,18
Esthetic Education ,Unbelievable,18
Maybeshewill,He Films The Clouds Pt. 2,1
Break My Fucking Sky,spacemode,18
Break my fucking sky,Last Song,18
Flipsyde,Someday ,3
Poets of the Fall,Sleep,1
The Cranberries,Will You Remember?,18
The Beatles,Michelle.,1
shocking blue,long and lonesome road,18
 Scott Dunbar,Tin Foil Hat,""
The Temper Trap,Sweet Disposition,2
Fallulah,Give Us A Little Love,2
"Тартак,Моторолла,Хвилю тримай",Якби всі люди взяли гітари,2
The Elderberries,Bikini (Cyberpunkers Remix),18
Моторолла,"Не дзвонила, не заходила",18
God Help the Girl,Baby You’re Blind,2
God Help The Girl,Funny Little Frog,18
Marina And The Diamonds,Girls,2
Mushmellow,Hellen,18
Теді Ведмеді,ZORELIT,1
I Am Waiting For You Last Summer,Solar Wind,18
Brainstorm,The Kitten Who Didn't Want to Give Up,18
Modjo,Lady (Hear Me Tonight),2
Motorama,Alps,18
The Pretty Reckless,You,1
Motorama,Wind In Her Hair,18
Motorama,One Moment,18
Motorama,Ship,18
Motorama,Empty Bed,18
Cosmic Gate feat. Emma Hewitt,Not Enough Time (Radio Edit),11
Emma Hewitt,These Days Are Ours,22
DeeExpus,The King of Number 33 - Part 2 - Accession (2011),18
Liam and Me,Say It Out Loud .,18
Lюk,Сахалiн,18
Lynsey De Paul,Sugar Me,18
Paula Seling & Ovi,Playing With Fire ,2
Michael Tolcher,Bad Habits,18
Of Monsters and Men ,Little Talks,18
Emma Hewitt,Colours (Album Version),18
Beck,Everybody's Gotta Learn Sometimes,2
lazlo bane,i'm no superman ,1
